refseq_name	AP_SK_MllAF9_BMTs_01_wtGMP_1	AP_SK_MllAF9_BMTs_02_wtGMP_2	AP_SK_MllAF9_BMTs_03_wtGMP_3	AP_SK_MllAF9_BMTs_04_wtGMP_4	AP_SK_MllAF9_BMTs_05_LTearly_1_M2grD2	AP_SK_MllAF9_BMTs_06_LTearly_2_M3grE2	AP_SK_MllAF9_BMTs_07_LTearly_3_M4grLT3	AP_SK_MllAF9_BMTs_08_LTearly_4_M2grLT5	AP_SK_MllAF9_BMTs_09_LTlate_1_M2grLT3	AP_SK_MllAF9_BMTs_10_LTlate_2_M6grLT3	AP_SK_MllAF9_BMTs_11_LTlate_3_M3grD2	AP_SK_MllAF9_BMTs_12_LTlate_4_M3grG2	AP_SK_MllAF9_BMTs_13_BMTGMP_1_M1grV	AP_SK_MllAF9_BMTs_14_BMTGMP_2_M2grV	AP_SK_MllAF9_BMTs_15_BMTGMP_3_M1grW	AP_SK_MllAF9_BMTs_16_BMTGMP_4_M1grX
NM_001001130	62.16667	12	3.33333	10	20	0	20.66667	10.5	67.33333	67	44	83	64.83333	80	78	24
NM_001001144	259	67	198	127	59	78	47	204	202	499	386	402	325	300	351	216
NM_001001152	31.5	33	12	43	34	64	25	0	85.5	67	51.5	24	20.33333	66	33	37.5
NM_001001160	31	10	0	0	32	4	0	0	46	10	0	5	12	0	0	13
NM_001001176	58	10	27	12	6	0	1	7	71	75	6	55	61	0	84	59
NM_001001177	19	30	20	1	41	23	0	13	60	19	33	0	13	19	0	23
NM_001001178	0	0	0	18	4.1	0	0	0	0	11	0	3	51	0	1.125	0.04348
NM_001001179	0	0	0	0	11	10	0.04167	0	0	0	0	15	6	0.02564	0	22.32186
NM_001001180	14	5	6	0.1746	45	0	0.10823	0.7625	20.01389	0.11655	0.13043	0	19	13	0.46414	26
NM_001001181	110	30	66	72	102	62.5	66	92	191.5	265.5	172.5	322	249.5	65.5	85	96.5
NM_001001182	3610	1370	2248	1523	15836	10050	5293	23237	29353	41876	36390	62425	29129	25048	18054	19977
NM_001001183	0	0	26	0	3	1	0	0	0	0	0	0	17	0	0	0
NM_001001184	72	0	55	7	13	58	96	78	9	164	96	277.5	189.5	128	98	89
NM_001001185	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
NM_001001186	28	22	40.33333	24.33333	62.83333	61.75	77	37.25	135.33333	63.33333	44	155	98.66667	86	54.83333	26.25
NM_001001187	150.4	31.83333	111.33333	43.2	105.18333	40.21667	133	304.5	366.36667	272.03333	448.16667	514	369.3	200.5	256.25	169.65
NM_001001295	291	57	249	151	189	130	51	200	434	305	801.5	773	711	195	345	311
NM_001001297	11	0	13	0	1	0	14	48	23	27	0	0	0	12	43	0
NM_001001309	0	36	0	24	15	33	0	0	26	23	2	12	11	0	22	15
NM_001001319	0	0.09259	19.76786	3.5	10.03704	7.04946	22.43834	0	2.83147	2	9.5	8.33333	11.33333	2.5	0.77791	8.82066
NM_001001320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001321	0	4	7	1	14.2	30	5	40	20	114	70	103	0	28.61905	102	5
NM_001001322	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001326	54	33	10	1	7	25	7	48	32	10	57	157	90	41	32	32
NM_001001327	19.5	2	4	13	0	6.5	0	5.5	33	28.25	19.5	25	34	14	3.5	9.5
NM_001001332	0	0	0	0.66667	120	42.83333	76.16667	394.16667	16.33333	566	752.83333	936.83333	90.33333	511.5	626.33333	142.83333
NM_001001333	48	3	65	29	2.5	25	11	26	67	1	82	86	56	38.5	75	20
NM_001001334	0	0	0	0	0	0	0	0	10	0	16	0	0	0	18	0
NM_001001335	14	24.33333	25.5	12	1	20	9	15	18	74	82	140	200	166.5	23.25	66.77778
NM_001001444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001445	0	0	0	6	0	33	0	0	0	0	0	23	0	0	0	0
NM_001001446	0	16	0	0	30	0	14	0	0	0	0	0	0	1	0	10
NM_001001447	27	15	17	25	41	35	23	95	50	98.5	103.5	81	107	65	67	60.5
NM_001001449	0	0	0	0	29	0	0	5	0	0	0	0	0	20	0	0
NM_001001450	0	0	0	0	2.75	0	0	0	0	0	0	0	0	0	0	2
NM_001001451	0	0	0	0	0	0	0	25	0	9	0	0	0	0	0	0
NM_001001452	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
NM_001001453	0	0	0	0	5	5	0	25	0	0	0	0	0	0	0	0
NM_001001454	7.04651	11.04	0.07644	0.13846	7.05775	0.5127	55.13	14.0379	35.0575	26.3289	12.06527	30.03775	21.24042	36.02439	15.04709	14.1188
NM_001001488	6	0	0	10	22	31	26	0	0	23	5	0	15	0	0	0
NM_001001489	0	4	0	0	31.4	14	8	0	23	0.375	0	0	0	15	0	0
NM_001001490	0	0	0	8	21	6	45	16	19	2	0	0	0	24	0	23
NM_001001491	1085	501	1491	669.5	1768	1637	1744.5	2678	2799	5867	6764.5	7109.5	2467	577	3211	569
NM_001001492	0	0	0	0	25	0	3	10	6	31	2	0	1	21	0	0
